Period,Temperature (Â°F),Wind,Short Forecast,Detailed Forecast
Today,75,5 to 10 mph NNE,Mostly Sunny,"Mostly sunny, with a high near 75. North northeast wind 5 to 10 mph, with gusts as high as 25 mph. New rainfall amounts less than a tenth of an inch possible."
Tonight,53,5 to 10 mph NE,Partly Cloudy,"Partly cloudy, with a low around 53. Northeast wind 5 to 10 mph, with gusts as high as 20 mph."
Saturday,73,5 to 10 mph NNE,Partly Sunny,"Partly sunny, with a high near 73. North northeast wind 5 to 10 mph, with gusts as high as 20 mph."
Saturday Night,56,5 to 10 mph NNE,Mostly Cloudy,"Mostly cloudy, with a low around 56. North northeast wind 5 to 10 mph, with gusts as high as 20 mph."
Sunday,73,5 to 10 mph NE,Mostly Cloudy then Chance Showers And Thunderstorms,"A chance of showers and thunderstorms after 1pm. Mostly cloudy, with a high near 73. Northeast wind 5 to 10 mph, with gusts as high as 20 mph. Chance of precipitation is 30%."
Sunday Night,59,5 to 10 mph NE,Chance Showers And Thunderstorms,"A chance of rain showers before 7pm, then a chance of showers and thunderstorms between 7pm and 10pm, then a chance of showers and thunderstorms. Mostly cloudy, with a low around 59. Northeast wind 5 to 10 mph. Chance of precipitation is 40%."
Monday,74,5 mph NNE,Chance Showers And Thunderstorms then Slight Chance Showers And Thunderstorms,"A chance of showers and thunderstorms before 7am, then a slight chance of showers and thunderstorms between 7am and 1pm, then a chance of showers and thunderstorms. Mostly cloudy, with a high near 74. North northeast wind around 5 mph. Chance of precipitation is 40%."
Monday Night,58,0 to 5 mph NW,Chance Showers And Thunderstorms then Mostly Cloudy,"A chance of showers and thunderstorms before 7pm. Mostly cloudy, with a low around 58. Northwest wind 0 to 5 mph. Chance of precipitation is 40%."
Tuesday,85,0 to 5 mph SW,Mostly Sunny,"Mostly sunny, with a high near 85. Southwest wind 0 to 5 mph."
Tuesday Night,64,5 mph S,Mostly Clear,"Mostly clear, with a low around 64."
Wednesday,91,5 to 10 mph S,Sunny,"Sunny, with a high near 91."
Wednesday Night,69,5 to 10 mph SSW,Mostly Clear,"Mostly clear, with a low around 69."
Thursday,92,5 to 10 mph SW,Mostly Sunny,"Mostly sunny, with a high near 92."
Thursday Night,70,5 mph SW,Mostly Cloudy,"Mostly cloudy, with a low around 70."
